,first_name,last_name,membership_id,date_of_birth,email,mobile_no,above_18
0,Patty,Smith,Smith_c7677,19750827,Patty_Smith@ross.com,59428759,True
1,Sean,Wang,Wang_04168,19600311,Sean_Wang@gibson-calderon.com,25595367,True
2,Richard,Estrada,Estrada_0bf5b,19921015,Richard_Estrada@malone.com,22821527,True
3,Jackson,Cline,Cline_825fb,19710121,Jackson_Cline@hudson.net,48056519,True
4,Allen,Williams,Williams_3e726,19971109,Allen_Williams@sanchez.net,77991519,True
5,Eric,Flores,Flores_8a42c,19820701,Eric_Flores@dillon-patterson.com,36641663,True
6,Anna,Richardson,Richardson_ef158,19670223,Anna_Richardson@perry.com,64083047,True
7,Taylor,Gomez,Gomez_876bf,19821022,Taylor_Gomez@johnston.com,24007567,True
8,Jeremy,Rodriguez,Rodriguez_93ac7,19780828,Jeremy_Rodriguez@roth.com,32567967,True
9,April,Garcia,Garcia_26b55,19871231,April_Garcia@hall.com,24650447,True
10,Sharon,Garza,Garza_40199,20020830,Sharon_Garza@duran.com,59411567,True
11,Lori,Sanchez,Sanchez_364a7,19980420,Lori_Sanchez@hardin-warner.net,76989167,True
12,Jason,Armstrong,Armstrong_e2fb8,19921116,Jason_Armstrong@curtis.com,68514503,True
13,Jessica,Allison,Allison_0c21b,19721030,Jessica_Allison@harper.com,66821135,True
14,Arthur,Hall,Hall_b302a,19941103,Arthur_Hall@gonzalez.com,65493407,True
15,Sherry,Meza,Meza_af7be,19970904,Sherry_Meza@west.com,33491119,True
16,Matthew,Turner,Turner_0303a,19940707,Matthew_Turner@martinez.com,73291455,True
17,Sophia,Randolph,Randolph_76c7a,19500807,Sophia_Randolph@leonard-ramirez.com,94510479,True
18,Dr.,Samuel,Samuel_16040,19840403,Samuel_Thompson@sanchez-carroll.com,99063183,True
19,Zachary,Lee,Lee_76cce,19870704,Zachary_Lee@smith.com,36447751,True
20,Kara,Pittman,Pittman_44c4d,19680525,Kara_Pittman@gomez-vaughn.com,80502567,True
21,Gabriella,Anthony,Anthony_ebd30,19970106,Gabriella_Anthony@castro.com,89108943,True
22,Misty,Cantrell,Cantrell_b19eb,19570303,Misty_Cantrell@flores-decker.com,79619831,True
23,Kelly,Guerrero,Guerrero_d55cb,19970203,Kelly_Guerrero@riggs.com,53052583,True
24,David,Nichols,Nichols_9226a,19620819,David_Nichols@rocha.com,62269575,True
25,Shawn,Galloway,Galloway_1a4d2,19850419,Shawn_Galloway@johnston.com,17471367,True
26,Dennis,Sanford,Sanford_c7e24,19800806,Dennis_Sanford@lopez-archer.com,88084407,True
